rank	char	score_token	score_uniform	uniq_words	cum_pct	hsk_char_level
550	梦	6693	6693	558	97.4029	HSK4
551	妹	6687	3661	502	97.4106	HSK1
552	院	6639	6639	676	97.4182	HSK1
553	陪	6638	6625	222	97.4259	HSK5
554	队	6632	6632	1023	97.4335	HSK2
555	似	6630	6630	306	97.4411	HSK3
556	遇	6627	6627	237	97.4488	HSK4
557	及	6606	6606	675	97.4564	HSK3
558	亡	6598	6598	250	97.4640	HSK6
559	议	6593	6593	236	97.4716	HSK3
560	呃	6559	6559	3	97.4791	
561	赶	6518	6518	219	97.4866	HSK3
562	室	6484	6484	733	97.4941	HSK2
563	英	6463	6463	1292	97.5015	HSK2
564	竟	6460	6460	248	97.5090	HSK4
565	俩	6440	6440	105	97.5164	HSK4
566	饭	6406	6406	402	97.5238	HSK1
567	负	6314	6314	232	97.5310	HSK3
568	置	6280	6280	312	97.5383	HSK4
569	叔	6175	3229	492	97.5454	HSK4
570	仍	6171	6171	162	97.5525	HSK3
571	哭	6141	6137	202	97.5596	HSK2
572	丈	6137	6137	97	97.5666	HSK4
573	较	6121	6121	143	97.5737	HSK3
574	究	6077	6077	119	97.5807	HSK4
575	味	6077	6077	595	97.5877	HSK2
576	病	6011	6011	864	97.5946	HSK1
577	据	5962	5962	201	97.6014	HSK3
578	耶	5952	5952	942	97.6083	
579	聪	5946	5946	80	97.6151	HSK5
580	球	5933	5933	1636	97.6220	HSK1
581	刻	5886	5883	337	97.6288	HSK2
582	象	5882	5882	809	97.6355	HSK3
583	傻	5876	5872	213	97.6423	HSK5
584	骗	5839	5839	215	97.6490	HSK5
585	松	5830	5829	707	97.6557	HSK4
586	立	5810	5810	971	97.6624	HSK3
587	联	5792	5792	390	97.6691	HSK3
588	厉	5781	5781	54	97.6757	HSK5
589	恶	5776	5776	438	97.6824	HSK4
590	讓	5754	5754	148	97.6890	
591	偷	5737	5456	572	97.6956	HSK5
592	祝	5713	5713	330	97.7022	HSK3
593	习	5706	5706	193	97.7088	HSK1
594	剩	5695	5695	248	97.7153	HSK5
595	板	5691	5691	673	97.7219	HSK2
596	口	5688	5687	1636	97.7284	HSK1
597	丢	5679	5679	124	97.7350	HSK5
598	击	5678	5678	481	97.7415	HSK5
599	還	5634	5634	3412	97.7480	
600	附	5632	5632	164	97.7545	HSK4
601	包	5623	5590	1156	97.7610	HSK1
602	付	5604	5604	642	97.7674	HSK3
603	精	5580	5580	681	97.7738	HSK3
604	周	5577	5577	676	97.7803	HSK2
605	哈	5554	4888	1593	97.7867	HSK3
606	狂	5551	5551	470	97.7930	HSK5
607	虑	5532	5532	67	97.7994	HSK4
608	游	5508	5508	691	97.8058	HSK2
