rank	char	score_token	score_uniform	uniq_words	cum_pct	hsk_char_level
137	帮	96149	95118	983	84.3623	HSK1
138	爸	94512	51925	278	84.4806	HSK1
139	心	94121	94117	1891	84.5985	HSK2
140	太	93482	87248	2746	84.7155	HSK1
141	干	93152	93147	1142	84.8321	HSK1
142	错	91914	91893	620	84.9472	HSK1
143	今	88355	88355	235	85.0578	HSK1
144	间	88063	88063	748	85.1681	HSK1
145	认	87485	87485	305	85.2776	HSK1
146	女	87266	87266	1101	85.3869	HSK1
147	方	86187	86187	947	85.4948	HSK1
148	次	81492	81489	578	85.5968	HSK1
149	行	80969	80723	1772	85.6982	HSK1
150	题	79660	79660	230	85.7979	HSK2
151	情	79655	79655	897	85.8977	HSK2
152	拿	78758	78758	972	85.9963	HSK1
153	吃	77922	77922	609	86.0938	HSK1
154	作	77474	77474	1234	86.1908	HSK1
155	中	76116	76116	2360	86.2861	HSK1
156	直	75931	75930	604	86.3812	HSK2
157	哦	75703	75703	7	86.4760	HSK7-9
158	始	75022	75022	136	86.5699	HSK3
159	面	73814	73781	1191	86.6623	HSK1
160	之	72600	72600	3000	86.7532	HSK4
161	信	70382	70304	966	86.8413	HSK2
162	何	70320	70316	625	86.9294	HSK3
163	友	68349	68349	425	87.0149	HSK1
164	种	68316	68298	633	87.1005	HSK3
165	离	68253	68253	796	87.1859	HSK2
166	正	67625	67622	1310	87.2706	HSK1
167	带	67403	67403	1519	87.3550	HSK2
168	朋	66979	66979	162	87.4388	HSK1
169	望	64755	64755	328	87.5199	HSK3
170	相	64124	64122	905	87.6002	HSK2
171	工	62877	62877	961	87.6789	HSK1
172	将	62817	62817	503	87.7576	HSK3
173	进	62620	62617	1549	87.8360	HSK1
174	成	61982	61982	2060	87.9136	HSK2
175	白	60779	60748	1484	87.9897	HSK1
176	更	60706	60706	475	88.0657	HSK2
177	希	60514	60514	984	88.1414	HSK3
178	感	59687	59687	525	88.2162	HSK2
179	晚	59099	59099	386	88.2902	HSK1
180	钱	58651	58651	749	88.3636	HSK1
181	亲	58600	58563	536	88.4370	HSK3
